,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,140,281,282,285,278,271,543,543,543,543,543,543
Reserves,"19,410","23,943","27,109","32,664","36,108","41,095","50,724","59,370","61,371","64,862","67,720","69,112"
Borrowings +,"1,018",648,"1,090",582,557,"4,195","7,986","6,864","6,343","4,794","5,758","6,276"
Other Liabilities +,"9,412","10,372","10,859","12,231","11,046","12,788","23,566","19,270","20,664","23,051","24,985","29,613"
Total Liabilities,"29,980","35,245","39,341","45,762","47,989","58,349","82,819","86,047","88,921","93,250","99,006","105,544"
Fixed Assets +,"7,444","8,275","9,716","15,235","18,753","22,888","37,490","37,145","35,077","34,619","35,063","36,172"
CWIP,531,552,611,448,320,235,400,312,129,40,108,59
Investments,662,869,698,"1,306","2,660","2,305","7,066","6,862","6,351","5,495","7,137","7,564"
Other Assets +,"21,343","25,548","28,315","28,773","26,256","32,921","37,863","41,728","47,364","53,096","56,698","61,749"
Total Assets,"29,980","35,245","39,341","45,762","47,989","58,349","82,819","86,047","88,921","93,250","99,006","105,544"
