,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,10,44,42,53,68,-3,237,170,273,726,584,"1,150"
Cash from Investing Activity +,1,-22,-22,-43,-100,-64,-99,-265,-464,-356,-531,"-1,229"
Cash from Financing Activity +,-13,-22,-20,-8,42,69,-57,63,304,-330,-70,-27
Net Cash Flow,-1,-0,1,1,10,2,81,-32,113,41,-17,-106
