,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,73.15%,73.15%,73.15%,73.15%,73.15%,73.15%,73.15%,73.15%,73.15%,73.15%,73.15%,73.15%
FIIs +,6.63%,6.64%,6.72%,6.63%,5.79%,5.89%,5.90%,6.10%,7.56%,7.53%,7.23%,5.82%
DIIs +,14.73%,14.60%,14.45%,14.32%,15.01%,15.24%,15.05%,14.52%,12.74%,12.68%,12.78%,14.10%
Public +,5.50%,5.61%,5.67%,5.91%,6.04%,5.71%,5.88%,6.22%,6.54%,6.64%,6.82%,6.92%
No. of Shareholders,"31,872","39,404","49,247","51,943","51,199","50,103","57,926","64,377","72,853","78,402","83,959","95,380"
