,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,66.35%,65.92%,59.05%,55.99%,55.99%,55.99%,55.99%,55.99%,55.99%
FIIs +,15.51%,14.00%,16.63%,18.92%,17.32%,16.76%,16.49%,17.19%,18.84%
DIIs +,12.67%,13.07%,18.70%,20.40%,19.55%,13.58%,18.63%,18.21%,16.17%
Public +,5.48%,7.02%,5.63%,4.68%,7.14%,13.66%,8.89%,8.58%,8.97%
No. of Shareholders,"2,30,874","2,95,953","2,45,025","2,28,531","3,08,651","4,17,337","4,29,397","7,07,579","11,26,259"
