,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,73.88%,73.87%,73.85%,73.85%,73.80%,73.77%,73.75%,73.74%,73.69%,73.69%,73.66%,73.66%
FIIs +,6.34%,6.04%,7.22%,6.69%,5.31%,5.89%,5.63%,5.52%,4.46%,4.35%,4.19%,5.18%
DIIs +,4.08%,8.00%,7.69%,8.41%,10.37%,10.77%,11.33%,12.09%,13.07%,13.72%,14.30%,13.67%
Public +,15.69%,12.10%,11.24%,11.06%,10.51%,9.55%,9.29%,8.65%,8.77%,8.24%,7.85%,7.47%
No. of Shareholders,"2,76,779","3,05,881","2,88,961","2,97,569","2,84,646","2,66,571","2,57,396","2,43,374","2,54,732","2,36,000","2,31,067","2,19,573"
