,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,16,16,16,16,17,52,52,54,57,115,115,115
Reserves,292,346,452,"1,044","1,374","1,652","1,809","2,202","3,381","4,041","4,828","5,612"
Borrowings +,308,236,396,510,614,"1,083","1,317","1,159",944,"1,395","1,706","2,473"
Other Liabilities +,366,399,622,829,"1,360","1,444","2,403","2,562","2,416","2,716","3,235","3,543"
Total Liabilities,981,997,"1,487","2,398","3,365","4,231","5,581","5,977","6,798","8,267","9,884","11,743"
Fixed Assets +,401,411,573,885,"1,350","1,861","2,674","2,797","2,805","3,316","3,931","4,749"
CWIP,22,9,130,117,211,150,360,134,347,293,216,730
Investments,47,28,44,111,155,356,398,531,607,869,951,848
Other Assets +,512,548,740,"1,285","1,649","1,864","2,148","2,515","3,040","3,789","4,786","5,416"
Total Assets,981,997,"1,487","2,398","3,365","4,231","5,581","5,977","6,798","8,267","9,884","11,743"
