,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,45,27,11,14,15,15,9,20,20,21,23,21
Inventory Days,121,103,70,99,124,115,121,153,119,119,102,104
Days Payable,98,79,42,66,125,94,92,93,95,85,81,78
Cash Conversion Cycle,69,51,39,46,14,36,39,79,44,55,44,47
Working Capital Days,16,-3,1,4,-17,-0,1,25,11,26,13,13
ROCE %,27%,27%,28%,25%,27%,29%,22%,30%,27%,22%,24%,25%
