,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,325,601,296,465,508,556,539,"1,246",470,890,"1,413","1,004"
Cash from Investing Activity +,-134,-186,-218,-202,-267,-240,-196,-199,-403,-345,-591,-791
Cash from Financing Activity +,-188,-260,-234,-210,-284,-316,-156,-506,-310,-327,-382,-440
Net Cash Flow,4,155,-155,52,-43,0,188,542,-243,219,441,-227
