,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,32.70%,32.19%,30.95%,28.47%,28.23%,25.54%,25.45%,22.87%
FIIs +,7.40%,23.76%,28.69%,32.05%,34.31%,39.74%,39.37%,35.58%
DIIs +,11.78%,14.41%,15.42%,20.54%,18.79%,20.62%,22.77%,27.16%
Public +,48.11%,29.63%,24.94%,18.94%,18.67%,14.09%,12.40%,14.39%
No. of Shareholders,"95,291","85,989","98,113","1,14,569","1,49,884","1,70,109","2,30,172","1,92,987"
