,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,-0,151,389,628,475,462,"1,002","1,390"
Cash from Investing Activity +,0,16,-136,-503,-292,-167,-561,-630
Cash from Financing Activity +,0,34,-177,-115,-127,-183,-240,-342
Net Cash Flow,0,201,75,10,56,112,201,417
