,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,26.08%,26.08%,26.08%,26.25%,26.48%,26.45%,25.51%,25.42%,25.39%
FIIs +,47.37%,49.48%,50.94%,64.66%,61.01%,53.88%,49.78%,53.90%,53.58%
DIIs +,2.17%,4.01%,3.89%,2.70%,6.87%,13.99%,11.74%,15.69%,15.34%
Public +,24.38%,20.42%,19.09%,6.39%,5.64%,5.68%,12.96%,5.00%,5.68%
No. of Shareholders,"50,610","45,012","51,576","56,493","78,348","1,00,926","99,212","1,18,031","2,30,821"
