,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%
FIIs +,5.03%,4.81%,2.29%,4.21%,4.37%,5.51%,7.01%,8.30%,8.19%
DIIs +,9.29%,9.48%,11.35%,10.20%,10.58%,9.49%,8.48%,7.42%,7.28%
Public +,10.68%,10.71%,11.36%,10.59%,10.05%,10.00%,9.51%,9.29%,9.51%
No. of Shareholders,"1,17,528","1,11,459","1,19,900","1,16,028","1,14,171","1,32,305","1,54,988","1,52,706","2,28,178"
