,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,74.99%,74.99%,74.98%,74.99%,74.98%,74.99%,75.00%,74.99%,74.99%
FIIs +,5.66%,5.84%,5.55%,7.78%,11.24%,11.28%,10.64%,10.66%,5.75%
DIIs +,8.45%,8.41%,8.26%,6.83%,4.02%,3.41%,3.47%,5.17%,10.11%
Public +,10.90%,10.77%,11.21%,10.40%,9.75%,10.32%,10.90%,9.17%,9.15%
No. of Shareholders,"74,326","73,480","76,921","1,18,622","1,63,936","3,53,821","4,28,448","3,71,411","3,78,309"
