,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,10,10,11,11,11,10,9,9,27,27,27,27
Reserves,"2,366","2,450","2,512","2,652","3,070","2,918","2,416","2,498","2,627","2,674","3,275","4,397"
Borrowings +,2,4,1,3,0,0,0,0,0,0,0,0
Other Liabilities +,"1,688","1,730","1,717","2,517","1,918","1,575","2,051","2,120","3,531","3,293","6,148","5,918"
Total Liabilities,"4,066","4,195","4,240","5,183","4,998","4,504","4,476","4,627","6,185","5,994","9,450","10,342"
Fixed Assets +,190,251,241,249,207,204,190,184,161,252,285,313
CWIP,34,4,3,6,7,18,22,4,10,2,15,41
Investments,"2,186","2,276","2,115","1,996","2,442","2,380","2,132","1,844","1,968","1,453","2,390","2,845"
Other Assets +,"1,656","1,664","1,882","2,931","2,342","1,902","2,132","2,595","4,046","4,286","6,761","7,142"
Total Assets,"4,066","4,195","4,240","5,183","4,998","4,504","4,476","4,627","6,185","5,994","9,450","10,342"
