,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,295,296,270,311,543,544,554,555,556,557,557,558
Reserves,"23,012","25,561","26,222","29,467","36,232","39,439","39,415","41,027","46,567","55,809","65,633","76,481"
Borrowings +,"35,167","37,911","41,553","48,762","55,898","70,848","82,092","80,625","77,605","92,247","108,647","124,949"
Other Liabilities +,"29,415","30,608","31,806","35,296","43,696","51,057","43,655","42,762","47,661","55,670","59,884","75,598"
Total Liabilities,"87,889","94,376","99,852","113,835","136,369","161,889","165,716","164,968","172,388","204,283","234,722","277,586"
Fixed Assets +,"18,381","19,047","20,585","20,989","26,182","28,983","29,689","21,380","26,018","27,140","28,129","39,281"
CWIP,"2,191","3,032","2,371","4,279","4,269","4,760","6,856","7,873","6,703","3,969","8,039","3,653"
Investments,"8,082","10,027","11,603","14,662","16,018","18,268","19,210","28,778","30,060","35,272","35,208","41,309"
Other Assets +,"59,234","62,270","65,293","73,905","89,900","109,878","109,960","106,938","109,607","137,902","163,345","193,344"
Total Assets,"87,889","94,376","99,852","113,835","136,369","161,889","165,716","164,968","172,388","204,283","234,722","277,586"
