,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,51.00%
FIIs +,2.17%,1.77%,2.78%,2.49%,0.47%,0.25%,0.26%,1.20%,13.04%
DIIs +,13.73%,15.03%,14.36%,14.67%,15.08%,15.47%,15.72%,15.84%,28.18%
Government +,0.18%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Public +,8.91%,8.20%,7.86%,7.84%,9.45%,9.28%,9.02%,7.96%,7.77%
No. of Shareholders,"47,475","37,696","36,763","36,621","40,464","41,862","38,865","44,121","82,054"
