,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,"1,318","1,457","1,729",593,"1,336",835,269,"1,214","1,253",
Cash from Investing Activity +,-995,"1,246","-1,170","1,766",-873,-463,-31,262,283,
Cash from Financing Activity +,-356,"-2,670",-325,"-2,531",-399,-338,-383,"-1,239","-1,452",
Net Cash Flow,-33,33,234,-172,64,34,-146,236,84,
