,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,14,14,14,14,15,15,15,15,15,15,15,60
Reserves,"1,156","1,281","1,422","1,772","2,871","3,039","3,071","4,447","5,659","6,237","8,717","11,019"
Borrowings +,0,795,"2,589","5,067","5,323","5,158","4,627","5,693","6,152","10,278","13,787","14,774"
Other Liabilities +,677,855,"1,064","1,586","2,202","2,149","2,370","3,887","5,033","6,419","9,252","8,134"
Total Liabilities,"1,848","2,945","5,090","8,439","10,411","10,360","10,084","14,041","16,860","22,949","31,771","33,987"
Fixed Assets +,307,300,292,294,300,302,333,350,357,466,603,768
CWIP,0,0,0,0,0,0,0,0,0,0,0,101
Investments,293,814,"1,231","1,767","2,807","2,686","3,088","3,922","4,685","4,787","6,501","8,851"
Other Assets +,"1,248","1,831","3,566","6,378","7,304","7,372","6,662","9,769","11,818","17,696","24,667","24,268"
Total Assets,"1,848","2,945","5,090","8,439","10,411","10,360","10,084","14,041","16,860","22,949","31,771","33,987"
