,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,310,150,221,296,362,"1,230",244,"1,252",512,"1,428","1,296","1,809"
Cash from Investing Activity +,-109,-173,-247,-295,-188,-408,-262,"-1,012",-427,"-1,203",-752,"-1,239"
Cash from Financing Activity +,-196,15,45,-10,-190,-651,11,-175,-201,-227,-387,-628
Net Cash Flow,4,-8,20,-8,-15,171,-7,66,-116,-2,157,-59
