,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,22,17,18,13,13
Inventory Days,30,29,28,23,25
Days Payable,71,55,60,53,52
Cash Conversion Cycle,-19,-9,-15,-16,-14
Working Capital Days,-26,-23,-24,-30,-19
ROCE %,,23%,33%,51%,54%
