,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%
FIIs +,5.42%,6.03%,6.74%,7.01%,7.58%,7.94%,7.89%,8.30%,8.59%,8.69%,8.77%,8.19%
DIIs +,9.65%,9.52%,8.78%,8.48%,8.01%,7.64%,7.71%,7.42%,7.03%,6.90%,6.78%,7.28%
Public +,9.93%,9.44%,9.48%,9.51%,9.40%,9.44%,9.40%,9.29%,9.39%,9.42%,9.45%,9.51%
No. of Shareholders,"1,31,103","1,36,012","1,36,690","1,54,988","1,62,240","1,63,563","1,56,916","1,52,706","1,79,869","1,92,619","2,08,414","2,28,178"
