,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,17,18,23,12,9,10,8,11,5,7,6
Inventory Days,,,,,,,,,,,
Days Payable,,,,,,,,,,,
Cash Conversion Cycle,17,18,23,12,9,10,8,11,5,7,6
Working Capital Days,770,663,461,"-1,217",-978,-899,"-1,018","-1,018",-859,-944,-575
ROCE %,,11%,10%,9%,9%,9%,8%,8%,11%,10%,9%
