,Mar 2022,Mar 2023,Mar 2024,Mar 2025
FIIs +,17.74%,50.41%,48.97%,45.93%
DIIs +,9.15%,13.97%,16.64%,22.95%
Public +,70.80%,34.79%,33.81%,30.85%
Others +,2.31%,0.83%,0.59%,0.28%
No. of Shareholders,"2,00,729","1,95,672","1,52,153","1,51,205"
