,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,051",754,"1,321","1,076","1,027","1,502","1,655","1,791","2,154","2,312","2,838","1,993","1,190"
Expenses +,559,553,576,588,584,664,740,703,916,920,"1,025",932,910
Operating Profit,493,201,744,488,444,837,915,"1,089","1,238","1,393","1,813","1,061",280
OPM %,47%,27%,56%,45%,43%,56%,55%,61%,57%,60%,64%,53%,24%
Other Income +,1,4,4,5,6,32,1,6,18,5,11,26,18
Interest,112,111,126,169,190,216,241,262,302,318,347,319,298
Depreciation,11,13,16,17,13,17,17,24,24,22,23,27,26
Profit before tax,370,81,607,307,247,636,658,809,930,"1,059","1,454",741,-27
Tax %,18%,61%,16%,26%,33%,17%,19%,18%,22%,17%,23%,24%,137%
Net Profit +,303,32,510,227,165,528,532,661,725,884,"1,122",566,-63
EPS in Rs,5.02,0.52,8.62,3.83,2.78,8.90,8.96,11.11,12.13,14.77,18.71,9.42,-1.08
Raw PDF,,,,,,,,,,,,,
