,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity +,,746,"-1,003",491,65,-96,68,-163,"1,516",684
Cash from Investing Activity +,,560,493,348,417,454,348,326,-150,"1,420"
Cash from Financing Activity +,,-119,-245,-608,-126,-605,-160,-183,-218,-448
Net Cash Flow,,"1,188",-755,231,356,-246,257,-19,"1,148","1,655"
