,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,693","1,292","1,935","1,722","1,249","1,233","1,663","1,097","1,062",600,"1,449",949,"1,053"
Expenses +,"1,396","1,110","1,698","1,523","1,065","1,086","1,531","1,054","1,025",656,"1,414",918,968
Operating Profit,297,183,237,199,184,147,132,43,37,-57,35,32,85
OPM %,18%,14%,12%,12%,15%,12%,8%,4%,4%,-9%,2%,3%,8%
Other Income +,-2,23,-23,36,52,-7,39,54,-129,60,48,57,76
Interest,60,62,62,62,61,63,61,62,61,62,61,62,60
Depreciation,9,7,7,7,9,5,5,5,11,5,6,12,13
Profit before tax,227,137,145,166,165,72,105,30,-164,-64,15,15,88
Tax %,0%,0%,0%,0%,0%,0%,0%,0%,-63%,-24%,28%,46%,20%
Net Profit +,227,137,145,166,165,72,105,30,-61,-49,11,8,71
EPS in Rs,3.50,2.12,2.23,2.56,2.56,1.11,1.63,0.47,-0.95,-0.75,0.17,0.12,1.09
Raw PDF,,,,,,,,,,,,,
