,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,903,994,"1,894","1,312",919,"1,282","2,932","3,294","2,104","2,689","3,228","6,777"
Cash from Investing Activity +,-438,-465,-860,"-2,872",-974,"-3,977","-1,004",-837,"-1,018","1,542","-1,492","-8,372"
Cash from Financing Activity +,-529,-351,-935,"2,316",52,"1,885","-1,528","-2,548",-868,"-4,400","-1,810","2,014"
Net Cash Flow,-64,178,99,756,-3,-811,399,-90,219,-170,-75,419
