,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,96.38%,96.38%,96.38%,96.38%,96.38%,96.38%,96.38%,96.38%,96.38%,96.38%,96.38%,94.61%
FIIs +,0.07%,0.08%,0.10%,0.14%,0.09%,0.15%,0.03%,0.05%,0.05%,0.04%,0.02%,0.22%
DIIs +,1.33%,1.34%,1.36%,1.35%,1.33%,1.33%,1.29%,1.29%,1.30%,1.30%,1.30%,2.59%
Public +,2.21%,2.19%,2.16%,2.11%,2.20%,2.13%,2.28%,2.28%,2.27%,2.29%,2.30%,2.58%
No. of Shareholders,"4,74,939","4,71,356","5,11,642","5,09,599","5,10,387","6,68,177","7,27,348","10,06,185","9,96,568","9,77,592","9,77,917","9,77,863"
