,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,"1,149","1,615","2,075"
Cash from Investing Activity +,-217,-543,-598
Cash from Financing Activity +,-930,"-1,066","-1,475"
Net Cash Flow,3,6,2
