,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,68.08%,73.07%,74.97%,74.97%,74.97%,74.97%,74.97%,71.75%,74.96%
FIIs +,22.12%,11.28%,10.02%,12.38%,11.52%,11.31%,11.70%,15.91%,12.36%
DIIs +,2.67%,9.14%,10.11%,8.29%,7.08%,5.56%,0.01%,1.41%,1.64%
Public +,7.12%,6.51%,4.90%,4.35%,6.43%,8.15%,13.32%,10.93%,11.03%
No. of Shareholders,"3,40,749","3,46,605","2,92,036","3,03,805","5,55,590","11,74,863","17,90,675","14,26,249","18,91,234"
