,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,51,51,51,51,51,51,51,51,51,51,51,51
Reserves,"1,901","2,219","2,587","3,420","3,523","4,097","4,405","5,542","6,353","7,161","8,356","9,704"
Borrowings +,46,58,80,98,125,113,288,331,416,391,382,454
Other Liabilities +,930,986,996,"1,202","1,500","1,643","1,779","2,890","2,675","2,902","3,286","3,803"
Total Liabilities,"2,928","3,315","3,714","4,770","5,199","5,904","6,523","8,814","9,494","10,505","12,076","14,011"
Fixed Assets +,729,978,"1,137","1,275","1,342","1,448","1,807","4,418","4,703","4,914","5,451","5,705"
CWIP,458,462,158,148,228,242,259,294,225,406,148,129
Investments,260,370,706,"1,443","1,246","1,548","1,186",516,459,881,"2,235","3,551"
Other Assets +,"1,481","1,505","1,713","1,904","2,383","2,666","3,270","3,586","4,107","4,304","4,242","4,626"
Total Assets,"2,928","3,315","3,714","4,770","5,199","5,904","6,523","8,814","9,494","10,505","12,076","14,011"
