,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,14,14,15,15,47,285,286,286
Reserves,108,216,307,475,"1,292","1,093",977,"1,019"
Borrowings +,83,310,413,333,593,798,969,"1,306"
Other Liabilities +,148,235,390,479,714,773,"1,169","1,112"
Total Liabilities,353,776,"1,124","1,302","2,646","2,950","3,401","3,723"
Fixed Assets +,34,140,227,231,483,699,668,714
CWIP,0,0,2,2,24,31,30,2
Investments,10,138,4,1,0,38,34,33
Other Assets +,308,497,892,"1,067","2,138","2,182","2,668","2,974"
Total Assets,353,776,"1,124","1,302","2,646","2,950","3,401","3,723"
