,Dec 2024,Mar 2025
Promoters +,76.02%,74.55%
FIIs +,6.58%,7.03%
DIIs +,9.90%,12.22%
Public +,7.51%,6.20%
No. of Shareholders,"9,33,227","7,39,867"
