,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,430,430,430,430,439,877,877,877,877,877,877,877
Reserves,"33,756","43,742","41,445","19,753","23,716","24,615","23,067","31,586","35,131","44,308","54,379","60,622"
Borrowings +,0,0,0,0,0,0,0,0,0,0,0,0
Other Liabilities +,"29,809","30,745","34,228","77,131","88,329","96,716","96,637","107,801","115,833","117,546","129,196","133,268"
Total Liabilities,"63,995","74,916","76,103","97,314","112,484","122,209","120,581","140,265","151,841","162,731","184,452","194,768"
Fixed Assets +,118,181,214,192,200,225,209,200,200,324,318,327
CWIP,0,0,0,0,0,0,0,0,0,0,0,0
Investments,"46,679","56,758","55,686","66,481","73,791","82,045","70,918","93,990","104,677","114,738","135,763","143,280"
Other Assets +,"17,198","17,978","20,203","30,641","38,493","39,938","49,455","46,075","46,963","47,669","48,372","51,161"
Total Assets,"63,995","74,916","76,103","97,314","112,484","122,209","120,581","140,265","151,841","162,731","184,452","194,768"
