,Mar 2023,Mar 2024,Mar 2025
Debtor Days,27,11,14
Inventory Days,,,
Days Payable,,,
Cash Conversion Cycle,27,11,14
Working Capital Days,-4,-18,-12
ROCE %,,38%,43%
