,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%
FIIs +,4.37%,3.21%,3.30%,3.31%,3.83%,3.68%,8.45%,11.89%,10.27%
DIIs +,12.54%,13.55%,12.95%,11.61%,7.26%,8.22%,8.98%,5.95%,7.01%
Public +,8.09%,8.24%,8.75%,10.08%,13.91%,13.10%,7.56%,7.15%,7.70%
No. of Shareholders,"64,014","58,583","65,551","69,683","76,229","83,187","1,06,396","1,02,557","1,71,077"
