,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,171,171,344,345,394,397,399,399,421,423,487,491
Reserves,"6,690","7,529","7,720","8,607","11,880","13,101","14,424","16,105","18,835","21,699","29,618","34,047"
Deposits,"59,729","70,823","79,171","97,662","111,970","134,879","152,252","172,186","181,678","212,988","252,455","283,484"
Borrowing,"5,768","2,393","5,236","6,345","12,329","8,706","12,528","12,271","19,587","25,862","25,160","32,596"
Other Liabilities +,"2,286","1,993","2,234","2,527","2,640","3,469","3,751","4,006","5,721","7,031","10,119","9,534"
Total Liabilities,"74,643","82,909","94,706","115,486","139,214","160,552","183,353","204,967","226,241","268,004","317,839","360,152"
Fixed Assets +,414,446,508,477,452,462,477,504,643,890,996,"1,528"
CWIP,23,27,16,15,10,18,28,13,29,81,67,0
Investments,"23,839","20,349","24,920","27,912","30,595","31,676","35,715","36,732","39,065","48,702","61,043","66,058"
Other Assets +,"50,368","62,087","69,262","87,081","108,158","128,397","147,133","167,717","186,504","218,330","255,733","292,567"
Total Assets,"74,643","82,909","94,706","115,486","139,214","160,552","183,353","204,967","226,241","268,004","317,839","360,152"
