,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,17,17,18,19,25,23,16,19,16,17,14,11
Inventory Days,69,67,73,77,83,73,82,83,71,66,64,63
Days Payable,146,131,138,138,151,133,145,175,141,128,126,126
Cash Conversion Cycle,-60,-47,-46,-41,-43,-38,-48,-74,-53,-45,-48,-52
Working Capital Days,-41,-44,-47,-50,-50,-53,-68,-48,-32,-24,-24,-20
ROCE %,22%,21%,15%,9%,9%,2%,-0%,6%,1%,6%,20%,20%
