,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,71.31%
FIIs +,5.10%,4.95%,4.90%,4.81%,4.52%,4.32%,4.06%,3.48%,5.02%,5.10%,4.52%,4.96%
DIIs +,1.52%,7.12%,7.55%,7.88%,8.08%,8.02%,8.49%,9.70%,8.53%,8.98%,9.20%,12.34%
Public +,18.38%,12.91%,12.55%,12.31%,12.38%,12.63%,12.44%,11.81%,11.44%,10.90%,11.26%,11.39%
No. of Shareholders,"68,726","69,244","69,764","64,144","62,844","61,793","61,563","62,489","72,536","73,288","82,384","90,724"
