,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,"14,128","-5,978","17,364","10,966","14,042","2,679","3,563","11,543","14,465"
Cash from Investing Activity +,"-4,918","-1,027",-494,"-3,790","-2,833","-2,960","-11,996","-9,887","-3,478"
Cash from Financing Activity +,"-6,974","6,742","-12,220","-12,539","-9,598","10,211","6,509","-2,954","-8,673"
Net Cash Flow,"2,236",-263,"4,649","-5,363","1,610","9,929","-1,924","-1,298","2,314"
