,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,-66,237,5,37,90,"1,348"
Cash from Investing Activity +,-56,-353,-218,-304,-447,"-2,410"
Cash from Financing Activity +,134,109,279,252,549,"1,608"
Net Cash Flow,13,-7,66,-16,192,546
