,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,70.10%,70.09%,70.09%,57.95%,57.95%,57.94%,58.68%,60.49%,60.48%,60.48%,60.70%,60.87%
FIIs +,13.77%,12.71%,13.05%,21.92%,22.20%,23.37%,22.56%,20.83%,22.49%,22.78%,22.16%,21.37%
DIIs +,5.86%,6.48%,7.21%,6.15%,6.01%,5.42%,5.81%,6.62%,6.25%,5.86%,6.26%,6.91%
Public +,10.27%,10.71%,9.64%,13.99%,13.85%,13.26%,12.94%,12.06%,10.78%,10.86%,10.81%,10.80%
Others +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.01%
No. of Shareholders,"1,31,174","1,31,244","1,14,652","1,46,581","1,39,365","1,52,709","1,66,183","1,87,726","2,02,103","2,09,910","2,11,924","2,22,569"
