,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,631,-451,253,710,"1,398","1,889",-172,-297
Cash from Investing Activity +,"-1,312","1,074",-97,-443,"-1,007",-35,481,538
Cash from Financing Activity +,812,-409,-309,-405,-239,-276,-371,-277
Net Cash Flow,131,214,-154,-138,152,"1,578",-62,-36
