,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,644,644,679,679,679,679,720,766,766,766,766,736
Reserves,"64,960","55,618","78,273","57,383","94,749","59,500","62,359","54,481","43,795","44,556","84,152","115,408"
Borrowings +,"60,642","73,610","69,360","78,604","88,950","106,175","124,788","142,131","146,449","134,113","107,262","71,540"
Other Liabilities +,"92,180","107,442","114,872","135,914","142,813","139,349","132,313","144,193","138,051","155,239","177,340","190,958"
Total Liabilities,"218,426","237,315","263,184","272,580","327,192","305,703","320,179","341,570","329,061","334,674","369,521","378,642"
Fixed Assets +,"69,092","88,479","107,232","95,944","121,414","111,234","127,107","138,708","138,855","132,080","121,285","163,879"
CWIP,"33,263","28,640","25,919","33,699","40,034","31,884","35,622","20,964","10,251","14,274","35,698","17,624"
Investments,"10,687","15,337","23,767","20,338","20,813","15,771","16,308","24,620","29,380","26,379","22,971","35,656"
Other Assets +,"105,385","104,858","106,266","122,600","144,932","146,814","141,141","157,278","150,575","161,941","189,566","161,483"
Total Assets,"218,426","237,315","263,184","272,580","327,192","305,703","320,179","341,570","329,061","334,674","369,521","378,642"
