,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015
Debtor Days,95,80,123,94,85,83,73,66
Inventory Days,2,,1,9,0,,0,
Days Payable,400,,549,678,385,,,
Cash Conversion Cycle,-303,80,-425,-575,-300,83,73,66
Working Capital Days,52,39,103,38,33,38,22,10
ROCE %,,39%,28%,16%,27%,22%,47%,60%
