,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2024,Mar 2025
Equity Capital,785,785,785,785,785,"2,688","2,688"
Reserves,"1,643","1,661","1,800","1,737","2,211","5,872","7,579"
Borrowing,"12,777","14,985","18,753","21,854","24,000","49,687","64,740"
Other Liabilities +,"3,592","2,937","3,181","3,277","3,298","4,354","4,728"
Total Liabilities,"18,797","20,368","24,518","27,652","30,293","62,600","79,735"
Fixed Assets +,318,314,303,282,266,361,349
CWIP,0,3,0,0,0,-0,-0
Investments,0,1,0,1,1,101,600
Other Assets +,"18,479","20,050","24,215","27,370","30,027","62,138","78,786"
Total Assets,"18,797","20,368","24,518","27,652","30,293","62,600","79,735"
