,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,601,601,601,802,757,"1,084","1,084","1,084","1,084","1,084","1,084","1,627"
Reserves,"20,080","20,900","24,577","28,718","28,273","27,890","22,126","22,582","29,478","37,397","47,255","48,141"
Borrowings +,"10,146","9,070","9,722","14,184","12,329","15,114","12,743","19,718","16,721","18,832","24,040","30,645"
Other Liabilities +,"4,571","6,549","5,344","7,600","7,353","8,430","20,981","12,151","13,846","16,866","20,114","24,032"
Total Liabilities,"35,398","37,120","40,244","51,303","48,712","52,518","56,936","55,535","61,129","74,179","92,494","104,445"
Fixed Assets +,"11,201","12,676","8,678","10,550","12,320","12,471","15,955","15,969","16,805","18,098","20,520","23,649"
CWIP,"2,816","3,755","1,812","1,894",988,"1,267","2,368","3,171","5,900","11,953","20,028","29,527"
Investments,"5,223","5,573","15,052","27,461","26,657","26,451","25,718","24,010","27,099","27,924","34,437","31,613"
Other Assets +,"16,158","15,116","14,701","11,398","8,747","12,329","12,894","12,385","11,325","16,204","17,509","19,656"
Total Assets,"35,398","37,120","40,244","51,303","48,712","52,518","56,936","55,535","61,129","74,179","92,494","104,445"
