,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,"3,952","3,990","1,912","2,866","3,469","3,159","2,315","7,481","9,121","7,905","11,582","19,645"
Cash from Investing Activity +,"-2,340",-937,"1,548",-237,"-1,855","1,600","-1,012","1,798","-2,174","-1,730","-7,546","-10,910"
Cash from Financing Activity +,"-1,500","-3,188","-1,453","-2,671","-3,555","-4,795","-1,185","-9,377","-5,982","-7,133","-3,996","-8,648"
Net Cash Flow,112,-136,"2,007",-42,"-1,940",-36,118,-98,966,-958,41,87
