,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,3,3,3,11,11,11,12,12,12,12,12,12
Reserves,71,82,120,186,304,367,530,726,985,"1,273","1,683","2,998"
Borrowings +,94,82,80,43,45,141,87,295,667,453,489,671
Other Liabilities +,124,157,215,549,606,971,"1,069","1,814","2,613","2,941","4,806","13,086"
Total Liabilities,291,324,417,789,966,"1,491","1,697","2,846","4,277","4,679","6,990","16,767"
Fixed Assets +,84,97,124,137,179,241,414,550,"1,003","1,244","1,996","2,775"
CWIP,0,0,0,2,16,19,10,72,22,120,68,256
Investments,6,6,0,0,11,8,0,95,141,44,20,536
Other Assets +,201,221,294,650,759,"1,224","1,273","2,128","3,111","3,272","4,905","13,201"
Total Assets,291,324,417,789,966,"1,491","1,697","2,846","4,277","4,679","6,990","16,767"
