,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,29,29,59,59,59,59,59,59,59,59,59,58
Reserves,"3,721","5,127","7,229","9,313","11,622","13,832","16,766","21,871","24,517","26,781","29,784","32,595"
Borrowings +,"3,769","4,451","5,041","3,364","4,770","6,967","5,826","5,339","2,851","5,286","6,648","8,263"
Other Liabilities +,"1,970","3,303","3,568","3,464","4,492","5,414","6,113","6,147","6,211","7,379","8,227","8,869"
Total Liabilities,"9,490","12,910","15,896","16,200","20,942","26,271","28,765","33,416","33,638","39,505","44,717","49,785"
Fixed Assets +,"2,722","3,706","4,180","4,834","6,521","8,475","9,396","9,374","10,532","11,024","14,493","16,428"
CWIP,310,420,848,"1,458","1,583","1,668","1,986","3,062","3,747","5,390","3,869","3,266"
Investments,20,20,123,246,312,360,555,591,997,543,372,252
Other Assets +,"6,439","8,765","10,745","9,662","12,527","15,768","16,827","20,390","18,362","22,549","25,983","29,839"
Total Assets,"9,490","12,910","15,896","16,200","20,942","26,271","28,765","33,416","33,638","39,505","44,717","49,785"
