,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,59,64,62,65,75,93,83,66,57,65,68,73
Inventory Days,273,329,273,239,271,250,267,232,230,228,217,231
Days Payable,92,126,106,108,142,123,139,103,108,112,102,116
Cash Conversion Cycle,239,267,230,196,204,220,211,195,180,181,182,188
Working Capital Days,126,133,121,111,129,143,122,106,103,122,125,227
ROCE %,19%,15%,13%,7%,9%,11%,12%,17%,17%,18%,23%,23%
