,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"8,870","10,678","8,259","9,302","7,852","6,208","7,497","9,614","9,147","8,120","7,247","8,337","8,808"
Expenses +,"5,422","5,804","5,555","5,394","4,549","3,932","4,027","6,171","5,886","4,978","4,711","5,795","6,220"
Operating Profit,"3,448","4,874","2,703","3,908","3,303","2,277","3,469","3,443","3,261","3,142","2,536","2,542","2,588"
OPM %,39%,46%,33%,42%,42%,37%,46%,36%,36%,39%,35%,30%,29%
Other Income +,425,171,727,132,173,259,"-1,983",635,578,355,977,302,382
Interest,241,244,258,246,153,214,279,236,234,242,280,304,244
Depreciation,310,468,511,530,438,478,499,576,576,553,608,624,533
Profit before tax,"3,321","4,333","2,662","3,264","2,885","1,843",708,"3,266","3,028","2,701","2,626","1,917","2,193"
Tax %,24%,25%,21%,23%,31%,24%,10%,20%,23%,25%,21%,24%,32%
Net Profit +,"2,527","3,230","2,116","2,529","1,980","1,399",640,"2,608","2,333","2,016","2,069","1,457","1,497"
EPS in Rs,13.02,17.25,11.66,14.04,10.71,8.77,2.59,14.43,13.16,11.59,12.40,8.23,8.05
Raw PDF,,,,,,,,,,,,,
