,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,3,4,5,3,5,5,3,3,3
Inventory Days,,,,,,,,,
Days Payable,,,,,,,,,
Cash Conversion Cycle,3,4,5,3,5,5,3,3,3
Working Capital Days,-72,-70,-64,-81,-186,-127,-57,-73,44
ROCE %,,40%,0%,5%,-14%,-13%,7%,24%,20%
