,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,18,18,18,18,18,18,18,18,18,18,18,18
Reserves,643,758,787,910,"1,066","1,220","1,362","1,561","1,896","2,592","3,288","4,368"
Borrowings +,484,371,398,501,518,603,708,808,888,"1,195","1,138",975
Other Liabilities +,207,243,309,292,387,411,393,572,827,"1,104","1,134","2,900"
Total Liabilities,"1,352","1,389","1,512","1,722","1,988","2,253","2,481","2,959","3,629","4,909","5,577","8,261"
Fixed Assets +,491,585,703,777,923,"1,043","1,209","1,288","1,493","1,702","2,028","2,696"
CWIP,81,61,30,91,107,178,165,293,230,282,490,703
Investments,25,37,40,53,17,33,2,1,18,99,370,676
Other Assets +,755,706,739,801,940,"1,000","1,105","1,378","1,888","2,826","2,690","4,186"
Total Assets,"1,352","1,389","1,512","1,722","1,988","2,253","2,481","2,959","3,629","4,909","5,577","8,261"
