,Mar 2008,Mar 2009,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,40,40,55,55,55,55,55,55,55,55,55,55,55
Reserves,"1,194","1,446","3,033","3,553","3,816","4,063","4,228","4,347","4,596","5,090","5,703","6,557","6,912"
Borrowings +,34,28,3,3,252,257,313,512,40,418,376,127,28
Other Liabilities +,721,798,"1,508","1,051","1,091","1,339","1,465","1,282","1,265","1,549","1,784","2,231","2,402"
Total Liabilities,"1,989","2,312","4,599","4,662","5,214","5,715","6,060","6,196","5,956","7,112","7,919","8,971","9,397"
Fixed Assets +,244,257,"1,307","1,291","1,502","2,021","2,015","2,270","2,189","2,209","2,226","2,302","2,348"
CWIP,31,58,171,519,463,39,159,80,128,61,41,97,65
Investments,487,442,536,489,862,708,468,"1,038",599,892,"1,457","1,642","1,664"
Other Assets +,"1,228","1,555","2,585","2,364","2,387","2,947","3,418","2,809","3,041","3,951","4,194","4,930","5,320"
Total Assets,"1,989","2,312","4,599","4,662","5,214","5,715","6,060","6,196","5,956","7,112","7,919","8,971","9,397"
