,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,73.66%,73.57%,73.56%,68.04%,66.40%,64.89%,63.90%,62.91%,60.23%
FIIs +,10.55%,13.41%,13.51%,19.82%,20.28%,21.03%,26.00%,25.79%,22.98%
DIIs +,1.07%,4.91%,6.42%,6.30%,5.90%,7.21%,3.67%,4.16%,9.19%
Public +,14.72%,8.11%,6.51%,5.84%,7.42%,6.87%,6.41%,7.16%,7.59%
No. of Shareholders,"51,090","31,531","30,235","46,360","56,213","1,37,208","2,61,286","4,89,887","8,73,915"
