,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,13,13,18,19,13,16,26,23,23,25,23
Inventory Days,9,4,9,7,6,6,6,6,8,12,10
Days Payable,3,11,16,21,14,14,18,15,11,23,21
Cash Conversion Cycle,18,6,11,4,5,8,14,13,20,14,12
Working Capital Days,8,-2,-5,-8,-3,3,9,9,16,12,18
ROCE %,,15%,26%,30%,31%,28%,28%,30%,26%,26%,26%
