,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,557,"1,054",657,636,830,"1,399"
Cash from Investing Activity +,-149,-695,27,177,-130,-610
Cash from Financing Activity +,-429,-276,-710,-865,-658,-479
Net Cash Flow,-22,84,-26,-52,41,310
