,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
FIIs +,43.54%,44.77%,45.11%,44.16%,44.53%,44.39%,43.65%,44.77%,45.48%,46.22%,45.70%,45.83%
DIIs +,45.33%,44.55%,44.18%,45.11%,45.00%,45.27%,46.00%,45.10%,44.45%,44.17%,44.95%,44.77%
Government +,0.23%,0.24%,0.24%,0.24%,0.25%,0.26%,0.27%,0.28%,0.28%,0.27%,0.27%,0.27%
Public +,10.89%,10.44%,10.46%,10.48%,10.22%,10.09%,10.09%,9.84%,9.79%,9.34%,9.08%,9.12%
No. of Shareholders,"19,28,477","17,97,478","17,80,472","18,33,994","17,68,795","17,90,879","18,02,207","17,85,572","18,03,051","18,12,907","18,45,311","19,02,503"
