,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,41.65%,40.14%,40.11%,39.49%,39.47%,39.47%
FIIs +,23.30%,20.92%,17.10%,23.42%,23.98%,17.17%
DIIs +,12.64%,15.44%,11.21%,12.30%,14.00%,21.29%
Public +,20.48%,21.64%,30.08%,23.41%,21.49%,21.15%
Others +,1.92%,1.86%,1.51%,1.39%,1.07%,0.89%
No. of Shareholders,"54,632","75,567","5,14,259","4,76,890","5,32,946","6,15,957"
