,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,"1,355","2,251","2,550","2,356","2,764","2,425","3,610","2,988","3,167","3,456","4,258","4,805"
Cash from Investing Activity +,-885,"-1,158",-911,"-2,122","-2,418","-1,828","-1,129",-910,"-2,483","-3,216","-3,544","-3,642"
Cash from Financing Activity +,437,"-1,206","-2,163",-674,-311,-617,"-2,506","-2,061",-502,-341,-551,"-1,216"
Net Cash Flow,908,-112,-523,-440,34,-20,-25,16,182,-101,163,-53
