,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Mar 2023,Mar 2024,Mar 2025
Equity Capital,309,310,310,397,397,397,397,397,397,397,440,493
Reserves,"9,153","9,760","9,961","19,424","20,275","21,973","23,681","22,360","24,957","31,301","41,016","52,951"
Borrowings +,48,34,35,29,24,40,41,471,477,523,699,788
Other Liabilities +,"3,446","3,774","3,827","12,974","14,813","14,981","16,059","16,490","19,374","19,501","23,107","26,714"
Total Liabilities,"12,956","13,878","14,133","32,824","35,509","37,391","40,178","39,718","45,205","51,721","65,261","80,945"
Fixed Assets +,"6,147","6,310","6,170","21,410","20,898","20,636","20,701","20,486","22,254","23,551","32,388","42,643"
CWIP,698,692,416,582,667,"1,008","1,554","2,422","2,168","2,526","2,658","9,820"
Investments,"1,714","2,097","2,149",175,153,133,150,167,198,214,849,"1,912"
Other Assets +,"4,399","4,780","5,398","10,657","13,791","15,613","17,773","16,643","20,585","25,430","29,365","26,570"
Total Assets,"12,956","13,878","14,133","32,824","35,509","37,391","40,178","39,718","45,205","51,721","65,261","80,945"
