,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,43.77%,44.32%,49.03%,49.91%,49.95%,51.09%,51.46%,51.46%,51.46%
FIIs +,15.47%,15.97%,14.43%,15.66%,14.39%,12.06%,12.34%,11.53%,10.56%
DIIs +,6.02%,5.11%,2.13%,2.42%,3.67%,5.17%,4.97%,6.09%,7.30%
Public +,34.73%,34.60%,34.41%,32.01%,31.99%,31.68%,31.22%,30.90%,30.69%
No. of Shareholders,"45,943","46,647","43,588","51,337","59,483","62,749","66,687","60,774","69,354"
