,Mar 2024,Mar 2025
Promoters +,74.88%,72.70%
FIIs +,9.87%,12.92%
DIIs +,11.14%,11.47%
Public +,4.10%,2.89%
No. of Shareholders,"1,35,116","1,80,597"
